product_type,product_name,summary,keywords,product_code,product_price
매직프레스,위드 러브(레귤러 스퀘어),하트를 가득 채우는 다양한 쉐입의 크리스탈과 앙증맞은 리얼 하트 크리스탈이 사랑스러운 레드 네일,,MDR708PR,"9,900원"
매직프레스,오로라 드림(레귤러 라운드),360도로 빛나는 마그네틱 파우더와 물결 프렌치가 만나 트렌디함과 영롱함을 모두 담은 네일,,MDR2F078PR,"14,800원"
매직프레스,크리스탈 드롭(레귤러 라운드),실버 빅스톤이 눈부시게 반짝이는 프리미엄 네일,"빅스톤,웨딩네일,글리터네일,23.06출시",MDR3S043PR,"14,800원"
매직프레스 플러스,오아시스(코핀),은은한 블루 마블에 톤을 맞춘 글리터와 풀스톤으로 화려함을 더한 프리미엄 코핀 네일,,MOL2W046PC,"9,900원"
매직프레스,체크 워머(코핀),니트 질감 표현으로 따뜻한 감성을 살린 매트 체크 네일,"23.11 출시,체크,매트,니트",MDR3W035CF,"10,800원"
글레이즈,애프터글로우,부드러운 브러시 터치와 유니크한 뉘앙스 주얼이 조화된 모노크롬 컨셉 네일,"드로잉,모노크롬,뉘앙스주얼",ZMJA027N_CN,"11,900원"
매직프레스,피스 러브 해피니스(코핀),오묘한 빛의 물방울과 다채로운 컬러가 매력적인 트렌디 코핀 네일,,MDR1201PC,"14,800원"
매직프레스,누드 글로시(아몬드),깔끔하게 예쁜 손을 만들어주는 아몬드 쉐입 풀컬러 네일,"풀컬러,시럽네일",MDR3W054AL,"9,800원"
매직프레스,샤인 플럼(코핀),V컷 헥사곤 스톤에 마그네틱으로 포인트를 준 코핀 네일,"브이컷스톤,자석젤,도깨비젤,클래식젤네일",MDR1074PC,"14,800원"
매직프레스,드리미 블랙(코핀),고급스러운 실버 별빛과 어우러진 마그네틱 네일,"늘이농PICK,23.11 출시,실버별,잉크,틴트,마블,마그네틱,자석젤",MDR3W036CF,"10,800원"
매직프레스,웨딩 세레모니(레귤러 라운드),실버 글리터 그라데이션과 빅스톤이 만나 한층 더 화려하게 완성한 프리미엄 네일,,MDR1208PR,"14,800원"
글레이즈,스노우 니트,소프트한 컬러감과 포근한 눈꽃 패턴이 사랑스러운 네일,"눈꽃,마그네틱,눈송이,니트",ZMA444N_VN,"14,100원"
매직프레스,플러피 체크(숏 스퀘어),차분한 컬러에 따뜻한 감성을 살린 데일리 체크 네일,"체크,매트,니트",MDR3W024SS,"10,800원"
매직프레스,[2+1] 겨울 네일 팁,,"33% 할인,겨을 신상 2+1,신상 네일 2개 구매 시 1종 증정",,"21,600원"
매직프레스,스윗 프린세스(코핀),사랑스러운 색감에 리본 스톤을 매치한 프리미엄 네일,"리본스톤,하트,그라데이션",MDR3W042PC,"14,800원"
글레이즈,소프트 모브,뮤트톤 핑크 컬러의 반시럽 네일,"풀컬러,반시럽,뮤트톤",ZMC229N,"10,800원"
매직프레스,헤이 마마(코핀),영롱한 유리 네일이 포인트가 되는 시어한 블루톤의 뉘앙스 네일,,MDR1205PC,"14,800원"
매직프레스 플러스,러브 잇(코핀),핑크와 화이트 그라데이션에 미니 주얼 포인트로 러블리한 분위기를 선사하는 올스톤 네일,,MOL2W043PC,"9,900원"
매직프레스,스페이스 블랙(아몬드),시크한 블랙 풀컬러 아몬드 네일,"풀컬러,아몬드쉐입",MDR3P090AL,"9,800원"
매직프레스,웨딩 위시(코핀),깔끔한 화이트 프렌치에 매력적인 크리스탈 스톤으로 포인트를 준 데일리 코핀 네일,,MDR1217CF,"10,800원"
매직프레스,샤이닝 뮤즈(레귤러 라운드),골드 라인과 은은한 오로라박으로 포인트를 더한 데일리 네일,"오로라박,글리터,그라데이션,데일리네일",MDR3W020RR,"10,800원"
글레이즈,스타라이트,차분한 그레이 컬러와 반짝이는 주얼이 포인트인 네일,"마블,주얼,포일아트,글리터",ZMJA049N_CN,"11,900원"
글레이즈,메리 체크,"차분한 레드, 그린 컬러와 체크가 더해진 연말 분위기의 네일","체크,겨울",ZMA442N,"14,100원"
매직프레스,샤인 매그놀리아(레귤러 스퀘어),최초 적용된 크리스탈 빅플라워 빅스톤이 전에 없던 새로운 쥬얼 네일을 완성,,MDR705PR,"9,900원"
매직프레스,스노우 볼(레귤러 라운드),스노우볼과 눈꽃 스톤으로 겨울을 표현한 프리미엄 네일,"크리스마스,스노우볼,스톤,눈꽃",MDR3W040PR,"14,800원"
매직프레스 플러스,헤이 슈가(코핀),스타일리시한 체커보드 패턴과 트렌디한 크롬파우더 디테일을 더해 힙한 무드를 느낄 수 있는 화이트 코핀 네일,,MOL2W051CF,"7,900원"
매직프레스,[웨딩 네일] 로얄 로맨스(레귤러 스퀘어),"로즈 골드와 핑크 컬러를 베이스로 화이트 펄, 오로라 빛 스톤, 조약돌 스톤을 포인트로 연출한 프리미엄 네일",,MDR1154PR,"14,800원"
매직프레스,소닉 실버 프리즘(코핀),블랙 마그네틱 디자인에 엣지있는 포인트 쥬얼로 더욱 시크한 코핀 네일,"요즘인기,자석네일,마그네틱,도깨비젤",MDR1109PC,"14,800원"
매직프레스,딥 유니버스(레귤러 라운드),깊은 은하수를 몽환적으로 표현한 3D 글리터 네일,"23.09 출시,마블네일,우주네일,별,3D네일,은하수네일",MDR3F046RR,"10,800원"
매직프레스,더 플래닛(코핀),반시럽 네이비 컬러와 어울리는 고급스러운 풀스톤 네일,"늘이농PICK,풀스톤,네이비,글리터",MDR3W041PC,"14,800원"
매직프레스,러브 유(레귤러 라운드),빨간 하트와 스마일 디자인으로 발랄한 분위기를 가진 네일,"스마일,3D엠보,하트",MDR3W034RR,"10,800원"
매직프레스,로맨스 스토리(아몬드),"부드러운 핑크 컬러에 자개, 글리터를 매치하여 화사하면서도 페미닌한 매력을 보여주는 아몬드 쉐입 네일","자개네일,아몬드쉐입,글리터",MDR3P042AL,"10,800원"
매직프레스,어반 스케치(레귤러 라운드),블루 그레이 베이스에 다양한 요소를 매치한 마블 네일,"마블,시리얼,자석,마그네틱",MDR3F017RR,"10,800원"
매직프레스,리틀 크리스마스(레귤러 라운드),아기자기한 드로잉에 3D 엠보로 귀여움을 더한 크리스마스 네일,"크리스마스,3D엠보,귀여운",MDR3W022RR,"10,800원"
매직프레스,딜라이트풀 스프링(코핀),봄의 화사한 분위기를 담은 글로시 3D 포인트 네일,,MDR1175CF,"10,800원"
매직프레스,글램 스타(코핀),클래식한 화이트에 풀스톤으로 화려함을 주어 세련된 분위기를 연출하는 프리미엄 코핀 네일,"풀스톤,마블,글리터그라데이션,웨딩네일,프리미엄",MDR2W017PC,"14,800원"
매직프레스,골드 샤워(롱 오발),영롱하게 반짝이는 글리터로 고급스러운 손끝을 완성시켜 주는 올 글리터 그라데이션 네일,,MDR2F069OL,"10,800원"
매직프레스,스마일 모빌(숏 스퀘어),러블리한 파스텔톤과 귀여운 모티브들이 만나 발랄한 분위기를 연출해 주는 네일,"3D엠보,파스텔컬러,키치네일",MDR3P045SS,"10,800원"
매직프레스,일루미네이션(코핀),다양한 빛으로 반짝이는 글리터 그라데이션 네일,"늘이농PICK,글리터그라데이션",MDR3W037CF,"10,800원"
글레이즈,러블리 슈가,러블리한 핑크 크림 컬러의 진주 포인트 네일,"그라데이션,주얼,글리터",ZMJA048N_CN,"11,900원"
매직프레스 플러스,유니버설(코핀),코핀 쉐입의 화려한 매력을 극대화해주는 홀로그램 미러 네일,"홀로그램미러파우더,홀로그램네일",MOL2W052CF,"7,900원"
매직프레스,위스테리아(레귤러 라운드),빛에 따라 다각도로 반짝이는 자개 네일,"자개,터치,주얼",MDR3W008RR,"10,800원"
매직프레스,핑크 갤럭시(코핀),핑크빛으로 몽환적인 은하수를 표현한 마블 네일,"마블네일,치크네일,조약돌스톤",MDR3F033PC,"14,800원"
매직프레스,[웨딩 네일] 크리스탈 샴페인(코핀),어느 각도에서 봐도 반짝이는 올 글리터 그라데이션에 유니크하게 배치된 파츠가 포인트인 데일리 네일,,MDR2F058CF,"10,800원"
글레이즈,[2+1]  겨울 젤네일 ~33%,,"33% 할인,겨울신상 2+1,신상 네일 2개 구매 시 1종 증정",,"29,600원"
매직프레스,플라워 댄스(레귤러 라운드),트렌디한 드로잉 아트와 깔끔한 프렌치를 담은 블랙 네일,,MDR2F055RR,"10,800원"
매직프레스,코지 선샤인(레귤러 라운드),깨끗한 느낌의 화이트 프렌치에 포인트 쥬얼을 더하여 밝은 분위기를 가득 담은 데일리 네일,,MDR2F067RR,"10,800원"
매직프레스,화이트 포션(레귤러 라운드),하얀 물결 같은 잉크 젤에 실버 별 포인트가 매력적인 트렌디 네일,"23.11 출시,실버별,잉크,틴트",MDR3W021RR,"10,800원"
매직프레스,빈티지 코튼(레귤러 라운드),자연스럽게 번지는 컬러가 매력적인 잉크 네일,"잉크네일,체크,하트,플라워",MDR3W018RR,"10,800원"
글레이즈,스타웨이,차분한 컬러들과 겨울 아트가 더해진 홀리데이 네일,"유리필름,그라데이션,실버박,글리터,시럽",ZMA445N_VN,"14,100원"
매직프레스,츄잉(레귤러 라운드),러블리한 포인트가 가득한 하트 네일,"하트,체크,3D엠보,블러쉬,치크네일",MDR3F043RR,"10,800원"
글레이즈,소프트 샌드,소프트한 베이지 컬러의 깔끔한 반시럽 네일,"풀컬러,반시럽,베이지",ZMC230N,"10,800원"
글레이즈,산타 쿠키,귀여운 산타 쿠키가 그려진 따뜻한 색감의 체크 네일,"드로잉,체크,겨울,산타",ZMA443N,"14,100원"
매직프레스,하트 치크(롱 오발),발그레한 블러셔에 앙증맞은 핑크빛 하트 주얼로 포인트를 준 사랑스러운 분위기의 치크 네일,"치크네일,하트스톤네일,쥬얼&파츠",MDR2W021OL,"9,700원"
매직프레스,다이아 아일랜드(코핀),코핀쉐입에 더해진 두가지 프리미엄 쥬얼로 마치 웨딩마치와 같은 순수하고 퓨어한 룩을 연출,"프리미엄주얼,코핀,파츠",MWK152PC,"14,800원"
글레이즈,소프트 크림,따뜻한 크림 컬러의 반시럽 네일,"풀컬러,반시럽,크림",ZMC231N,"10,800원"
매직프레스,[웨딩 네일] 웨딩 데이(숏 스퀘어),심플한 화이트 프렌치에 포인트 주얼로 세련된 손끝을 완성해 주는 클래식 네일,,MDR1183SS,"10,800원"
매직프레스,다니아 드림 샤인(코핀),내추럴 오렌지 컬러과 오묘한 그레이 바이올렛의 코핀 유리네일 디자인,"코핀,유리네일",MDR1108PC,"14,800원"
매직프레스,미니 오너먼트(숏 스퀘어),동그란 3D 오너먼트로 포인트를 준 알록달록 크리스마스 네일,"크리스마스,3D엠보,프렌치",MDR3W025SS,"10,800원"
매직프레스 플러스,화이트 크롬(코핀),설탕 시럽으로 코팅한 듯 영롱한 광택감이 돋보이는 클래식 화이트 네일,,MOL2W048CF,"10,600원"
매직프레스,스포트라이트(아몬드),은은한 반짝임으로 맑고 깨끗한 분위기를 연출하는 데일리 네일,"마그네틱네일,이펙트네일,아몬드쉐입",MDR3P030PA,"14,800원"
매직프레스,에센셜 프렌치(레귤러 라운드),오랫동안 사랑받는 클래식 화이트 프렌치 네일,프렌치,MDR3W047RR,"10,800원"
매직프레스,[공식몰 단독] 캔디 베어(코핀),반짝반짝 동심 가득한 곰돌이 파츠 네일,"곰돌이파츠,미러네일,글리터,23.06출시",MDR3S120PC,"14,800원"
매직프레스 플러스,디어 허니(코핀),깔끔한 화이트 펄 그라데이션에 우아한 물방울 스톤을 올려 열 손가락 전체가 반짝이는 올스톤 네일,,MOL2W042PC,"13,300원"
매직프레스,밀크(숏 스퀘어),우윳빛 컬러로 순수한 무드를 가진 시럽 네일,"풀컬러,시럽네일",MDR3W051SS,"9,800원"
글레이즈,스파클링 무드,핑크빛 베이스에 화려한 주얼이 반짝이는 글리터 네일,"주얼, 스팽글, 하트, 글리터, 드레스업",ZMJA047N_CN,"11,900원"
글레이즈,스파클링 와인,톤 다운 로즈 컬러와 버건디 컬러가 분위기 있는 네일,"컬러앤글리터,톤다운로즈컬러",ZMA435N,"11,900원"
매직프레스,멜랑꼴리(레귤러 라운드),소프트한 마블과 오브제 같은 매력의 3D 네일,"마블,3D 엠보",MDR3F013RR,"10,800원"
매직프레스,퓨어 트위드(레귤러 라운드),다양한 룩에 잘 어울리는 화이트 트위드 네일,"트위드네일,마그네틱",MDR3F038RR,"10,800원"
매직프레스,핑크 아가일(레귤러 라운드),섬세한 드로잉으로 그려낸 아가일 패턴 체크 네일,"아가일,라인,시리얼",MDR3W017RR,"10,800원"
글레이즈,해피 루돌프,귀여운 루돌프의 반짝이는 빨간 코가 매력적인 크리스마스 네일,"크리스마스,캐릭터,루돌프,주얼,귀여운",ZMJA050N_VN,"14,100원"
매직프레스,퍼니 스토리(숏 스퀘어),스포티한 컬러감과 유니크한 드로잉이 돋보이는 키치 네일,,MDR1226SS,"10,800원"
매직프레스,모던 타임즈(코핀),깔끔한 화이트 프렌치에 파츠 그라데이션의 화려함을 더한 V컷 스톤 네일,"V컷스톤,화이트,프렌치네일,웨딩네일",MDR2W011PC,"14,800원"
매직프레스,블랙 플래쉬(코핀),블랙 시럽 컬러와 어울리는 시크한 무드의 마그네틱 네일,"23.09 출시,자석젤,마그네틱,스톤,시크,블랙시럽",MDR3F035PC,"14,800원"
매직프레스,소프트 트위드(아몬드),깔끔한 패브릭 패턴의 트위드 네일,"트위드,자개",MDR3F021AL,"10,800원"
매직프레스,세피아 앰버(코핀),브라운 옴브레 마블과 카키 그린 컬러가 조화로운 코핀 네일,"마블,클래식네일",MDR3F057CF,"10,800원"
글레이즈,코랄 블러셔,맑은 반시럽 치크와 실버 라인이 포인트인 베이직 네일,"치크,라인아트,데일리네일",ZMA415N,"11,900원"
글레이즈,브릭 레드 시럽,따뜻한 감성의 브릭 레드 컬러의 시럽 네일,"풀컬러,반시럽,브릭레드",ZMC233N,"10,800원"
매직프레스,클래시 프렌치(코핀),손끝에 포인트를 주는 스퀘어 씬 프렌치 네일,"프렌치,씬프렌치,스퀘어프렌치",MDR3W049CF,"10,800원"
매직프레스,밀크티 라떼(롱 오발),차분한 색감에 감각적인 라인을 그린 드로잉 네일,"라인드로잉,3D엠보,코코아",MDR3W015OL,"10,800원"
매직프레스,문라이트 서커스(롱 오발),우아한 브라운 톤 마블에 별과 달을 그려낸 프리미엄 네일,"자석젤,마그네틱,마블,로즈골드포일,달,별,은하수",MDR3F036PO,"14,800원"
글레이즈,브라운 시럽,고급스러운 브라운 컬러의 시럽 네일,"풀컬러,반시럽,브라운시럽",ZMC234N,"10,800원"
글레이즈,유니버스,오묘한 퍼플 컬러와 글리터가 더해진 영롱한 네일,"옴브레,글리터,그라데이션",ZMA438N,"9,600원"
매직프레스,클리어 네이비(코핀),시크한 틴티드 네이비 컬러 코핀 네일,"풀컬러,네이비,데일리,베이직네일",MDR3F071CF,"9,800원"
매직프레스,블루 그레이(코핀),차분한 블루 톤 코핀 네일,"풀컬러,스카이블루,데일리,베이직네일",MDR3F070CF,"9,800원"
매직프레스,클리어 블랙(코핀),투명감 있어 언제 어디서나 연출하기 좋은 블랙 시럽 코핀 네일,"풀컬러,블랙,데일리,베이직네일",MDR3F061CF,"9,800원"
글레이즈,멜로우 러브,여리여리한 컬러감과 체크 패턴이 사랑스러운 네일,"체크,글리터",ZMA440N,"11,900원"
매직프레스,블루밍 아트(레귤러 라운드),플라워 드로잉에 이슬이 맺힌 듯 입체감을 더한 3D 네일,"플라워,3D엠보,드로잉",MDR3W013RR,"10,800원"
매직프레스,러블리 퀸(아몬드),여리여리한 핑크 톤에 화려함을 더한 풀스톤 네일,풀스톤,MDR3W044PA,"14,800원"
글레이즈,쉐도우,모노컬러의 브러시 터치와 유니크한 뉘앙스 주얼이 부드러우면서도 강렬한 네일,"드로잉,뉘앙스주얼,모노컬러",ZMJA028N_CN,"11,900원"
매직프레스,피치 피치(아몬드),코랄 치크 디자인에 얼음 스톤을 더해 러블리한 무드의 프리미엄 네일,"얼음스톤 ,치크네일,아몬드쉐입,23.05.15 출시",MDR3S045PA,"14,800원"
매직프레스,레드 브리즈(레귤러 라운드),골드 글리터가 화려하게 반짝이는 레드 마블 네일,"마블,3D엠보,글리터,골드",MDR3W012RR,"10,800원"
매직프레스,포키 포키(숏 스퀘어),작고 귀여운 아트로 일상의 행복감을 담은 키치 네일,"스마일,플라워,체크,키치네일,3D네일",MDR3F047SS,"10,800원"
매직프레스,크림 파스텔(코핀),파스텔톤 그라데이션으로 은은하게 빛나는 마그네틱 네일,"마그네틱,그라데이션 ,옴브레",MDR3S046PC,"14,800원"
매직프레스,러브 다이어리(레귤러 라운드),상큼한 레드 컬러의 하트가 귀여운 무드를 연출하는 네일,"화이트,하트네일,프렌치네일,3D엠보",MDR3S049RR,"10,800원"
매직프레스,클리어 화이트(아몬드),맑은 광택과 깨끗한 화이트 컬러로 순수한 느낌을 가득 담은 아몬드 쉐입 네일,"글레이즈도넛,아몬드쉐입,화이트네일",MDR3P041AL,"10,800원"
글레이즈,[산리오캐릭터즈] 플러피 스카이,솜사탕 같은 옴브레와 귀여운 시나모롤 네일,"옴브레,글리터,캐릭터네일,시나모롤,산리오네일,산리오콜라보",ZMA395D,"12,600원"
매직프레스,코지 체크(레귤러 라운드),차분한 컬러의 빈티지 체크 네일,"체크,글리터,레드,브라운",MDR3W011RR,"10,800원"
매직프레스,샤이닝 화이트(레귤러 라운드),우아하게 반짝이는 화이트 그라데이션에 심플한 미니 스톤 포인트로 어디에나 잘 어울리는 데일리 네일,"그라데이션네일,데일리네일,웨딩네일",MDR3P039RR,"10,800원"
매직프레스,스토미 나이트(레귤러 라운드),시크한 무드의 마블과 포인트 자개 네일,"자개,마블,스터드,뉘앙스",MDR3W010RR,"10,800원"
매직프레스,[산리오캐릭터즈] 비터&쿨,힙하고 키치한 분위기의 쿠로미 네일,"쿠로미,프렌치,3D해골,산리오네일,산리오콜라보,캐릭터네일",MDR2F099RR,"10,800원"
매직프레스,레드 팝(숏 스퀘어),계절과 피부 톤을 가리지 않는 쨍한 레드 컬러로 다채로운 매력을 표현할 수 있는 풀컬러 네일,"풀컬러,풀컬러네일,컬러시리즈",MDR3P032SS,"9,800원"
매직프레스,인터스텔라(레귤러 라운드),손끝에 반짝이는 별들을 연출한 라인 네일,"블러쉬네일,치크네일,라인네일,우주네일,별,은하수네일",MDR3F045RR,"10,800원"
글레이즈,소프트 블루,톤 다운된 블루 컬러의 반시럽 네일,"풀컬러,반시럽,소프트블루",ZMC232N,"10,800원"
매직프레스,루센트 크리스탈(레귤러 스퀘어),은은하게 빛나는 화이트 펄과 물방울 스톤이 빛나는 웨딩 네일,"마블,빅스톤,웨딩네일",MDR1153PR,"14,800원"
매직프레스,나이스 웨이(코핀),트렌디한 드로잉을 가득 모아 잔망스럽게 풀어낸 키치한 무드의 코핀 네일,"3D엠보,체커보드,프렌치네일",MDR3P044CF,"10,800원"
매직프레스,팡파레(코핀),폭죽이 터지는 듯한 화려함을 담은 글리터 네일,"투톤그라데이션,글리터",MDR3F052CF,"10,800원"
매직프레스,샌디 비치(레귤러 라운드),평화로운 바다 같은 은은한 여름 느낌의 마블 네일,"바다네일,마블네일,여름네일",MDR3S048RR,"10,800원"
글레이즈,핑크 브리즈,차분한 핑크 베이지 컬러와 레오파드 마블이 포인트인 네일,"마블,레오파드,글리터",ZMA430N,"11,900원"
매직프레스,피오니 블라썸(레귤러 라운드),여성스러운 디테일이 돋보이는 톤 다운 핑크 네일,"주얼,자개,마블,골드라인",MDR3F014RR,"10,800원"
매직프레스,딥 무드(레귤러 라운드),짙은 컬러감으로 우아한 무드를 연출하는 컬러 앤 글리터 네일,컬러앤글리터,MDR3W030RR,"10,800원"
매직프레스,언더 더 문(코핀),몽환적인 색감의 투톤 마그네틱 코핀 네일,"자석젤,마그네틱,투톤그라데이션,로즈골드포일,달,별,은하수",MDR3F034PC,"14,800원"
매직프레스,크런치 쿠키(코핀),유니크한 파츠로 포인트를 준 테라조 네일,"테라조네일,유니크네일,특수제작파츠",MDR3F051CF,"10,800원"
매직프레스,글로잉 베이지(레귤러 라운드),부드러운 컬러와 깔끔한 터치감이 돋보이는 3D 네일,"3D엠보,터치,글리터,메탈,골드라인",MDR3W007RR,"10,800원"
매직프레스,스파클링 오브제(롱 오발),물방울 V컷 스톤과 글리터로 손끝을 빛내 줄 프리미엄 파츠 네일,,MDR2F037PO,"14,800원"
글레이즈,[산리오캐릭터즈] 클래식 리본,빨간 리본 패턴이 사랑스러운 헬로키티 네일,"패턴,캐릭터네일,헬로키티,산리오네일,산리오콜라보",ZMA396D,"12,600원"
매직프레스,골드 스타(레귤러 라운드),클래식한 디자인에 풀스톤으로 화려함을 더한 프리미엄 네일,"풀스톤,글리터,그라데이션,주얼&파츠",MDR3F028PR,"14,800원"
글레이즈,루미너스,러프한 마블 위에 펄이 더해진 트렌디한 네일,"마블,펄",ZMA434N,"11,900원"
매직프레스,크리스탈 화이트(코핀),순수하고 맑은 화이트 컬러 코핀 네일,"풀컬러,화이트,데일리,베이직네일",MDR3F072CF,"9,800원"
매직프레스,시나몬 브라운(코핀),세련된 브라운 컬러 코핀 네일,"풀컬러,브라운,데일리,베이직네일",MDR3F067CF,"9,800원"
매직프레스,아쿠아 페블(레귤러 라운드),"마블, 라인, 3D 등을 조화롭게 매치한 뉘앙스 네일","뉘앙스,마블,3D엠보",MDR3W009RR,"10,800원"
매직프레스,미러볼(코핀),화려한 실버 글리터가 일상의 기분 전환을 도와주는 네일,"글리터,프렌치,데일리,23.06출시",MDR3S052CF,"10,800원"
매직프레스,마이 소울(레귤러 라운드),은은한 그라데이션에 트렌디한 아트를 감각적으로 배치한 네일,,MDR2F079RR,"10,800원"
매직프레스,블러드(아몬드),강렬한 할로윈룩을 완성하는 레드 그라데이션 네일,"그라데이션,옴브레,아몬드쉐입,할로윈네일",MDR3F002AL,"10,800원"
글레이즈,리틀 고스트,까만 밤하늘에 쏟아지는 별과 꼬마 유령이 귀여운 할로윈 네일,"할로윈,유령,캐릭터,프렌치,글리터",ZMA427N,"11,900원"
매직프레스,스윗 레몬(숏 스퀘어),상큼한 레몬 드로잉과 체커보드 조합이 귀여운 데일리 네일,"체커보드, 드로잉네일",MDR1225SS,"10,800원"
매직프레스,멀베리(레귤러 라운드),차분한 컬러로 여성스러운 무드의 컬러&글리터 네일,"풀컬러,글리터그라데이션,컬러앤글리터",MDR3F037RR,"10,800원"
매직프레스 플러스,플레이리스트(코핀),누디한 글리터 위에 컬러감이 돋보이는 스톤으로 포인트를 준 올스톤 네일,,MOL2W044PC,"13,300원"
매직프레스,페이보릿 바나나(숏 스퀘어),"보기만 해도 귀여운 항아리 우유와 바나나, 노란 마블과 체크로 완성하는 귀여운 숏 네일",,MDR1178SS,"10,800원"
매직프레스,뭉게구름(레귤러 라운드),3D 엠보로 입체감이 더해진 귀여운 구름 네일,"귀여운네일,캐릭터,구름,스마일,3D엠보",MDR3F039RR,"10,800원"
매직프레스,파스텔 필름(코핀),다양한 무드를 조화롭게 모은 경쾌한 느낌의 뉘앙스 네일,"뉘앙스네일,3D엠보네일",MDR3S051CF,"10,800원"
매직프레스,데어링 레드(코핀),강렬한 레드와인 컬러와 화이트 마블 조합에 깊은 영롱함을 가진 V컷 스톤을 매치하여 고급스러운 무드를 지닌 프리미엄 네일,"V컷,마블,홀리데이네일,프리미엄라인",MDR2W009PC,"14,800원"
글레이즈,카키 브라운,반시럽 느낌의 카키 컬러와 골드 포일이 고급스러운 네일,"포일아트,반시럽",ZMA431N,"11,900원"
글레이즈,듀이 포그,새벽하늘처럼 은은한 컬러감의 마블 네일,"마블,뉘앙스,자개,실버 포일",ZMA439N,"9,600원"
매직프레스,블랙 소르베(코핀),세련된 블랙 컬러에 반짝임을 가득 담은 마그네틱 네일,,MDR2F036PC,"14,800원"
글레이즈,플라워 퍼피,삐뚤빼뚤 솜뭉치 강아지와 플라워 일러스트가 볼수록 기분이 좋아지는 꽃&개 네일,"드로잉,체크,캐릭터",ZMA319N,"11,900원"
글레이즈,그린 페스티발,싱그러운 그린 컬러와 개성있는 디테일이 위트있는 네일,"프렌치,체커보드,시리얼",ZMA318N,"11,900원"
매직프레스,아이스 챌린지(레귤러 라운드),반짝이는 글리터에 영롱한 얼음 스톤을 가득 담은 풀스톤 네일,"풀스톤,얼음스톤,글리터",MDR3P029PR,"14,800원"
매직프레스,플라워 블렌딩(레귤러 라운드),귀여운 색감과 아트로 사랑스럽게 연출한 키치 네일,"체커보드,플라워네일,키치",MDR3F041RR,"10,800원"
글레이즈,브라운 체크,따뜻한 느낌의 체크 패턴과 테라조 아트가 조화로운 데일리 네일,"체크,테라조,그라데이션",ZMA437N,"9,600원"
매직프레스,스모키 애쉬(아몬드),베이지 톤 마블이 흐르는 듯한 뉘앙스 네일,"마블,뉘앙스",MDR3F054AL,"9,700원"
매직프레스,스파이더(코핀),거미줄 포인트로 할로윈 무드를 완성한 블랙 코핀 네일,"시럽,거미,거미줄,할로윈네일",MDR3F003CF,"10,800원"
매직프레스,파라다이스 오션(코핀),시원한 블루 컬러로 깨끗한 바다를 그려낸 프리미엄 네일,"바다네일,여름네일,그라데이션네일,불가사리파츠",MDR3S047PC,"14,800원"
